,Unnamed: 0,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE,TIME
133,133,18,22,3,HiberniaNireland,3,2.0,2.0,2.0,0.0139520168304443
134,134,15,15,1,HiberniaUk,0,0.0,0.0,0.0,0.0066020488739013
135,135,22,29,2,HiberniaUs,2,5.5,2.0,9.0,0.0341548919677734
136,136,18,53,1,Highwinds,1,13.0,13.0,13.0,0.0334677696228027
137,137,16,21,2,HostwayInternational,2,3.0,2.0,4.0,0.0183310508728027
138,138,24,37,2,HurricaneElectric,2,5.5,1.0,10.0,0.0523138046264648
139,139,18,24,1,Ibm,1,9.0,9.0,9.0,0.0135359764099121
140,140,37,66,2,Iij,2,6.0,1.0,11.0,0.0879654884338378
141,141,31,35,1,Iinet,1,4.0,4.0,4.0,0.0461518764495849
142,142,14,15,1,Ilan,0,0.0,0.0,0.0,0.0082747936248779
143,143,27,36,2,Integra,2,5.5,2.0,9.0,0.0327639579772949
144,144,73,97,3,Intellifiber,4,6.25,2.0,15.0,0.1172986030578613
145,145,19,45,1,Internetmci,1,17.0,17.0,17.0,0.0333735942840576
146,146,66,78,1,Internode,1,10.0,10.0,10.0,0.3461828231811523
147,147,110,158,4,Interoute,6,8.0,1.0,40.0,0.399808406829834
148,148,39,53,2,Intranetwork,6,2.6666666666666665,1.0,8.0,0.0632684230804443
149,149,125,150,4,Ion,5,7.4,2.0,23.0,0.3151435852050781
150,150,33,41,2,IowaStatewideFiberMap,2,6.0,2.0,10.0,0.0479176044464111
151,151,51,64,2,Iris,2,6.5,5.0,8.0,0.0544743537902832
152,152,23,23,1,Istar,0,0.0,0.0,0.0,0.018273115158081
153,153,11,10,1,Itnet,0,0.0,0.0,0.0,0.006439208984375
154,154,29,45,1,Janetbackbone,1,7.0,7.0,7.0,0.0099077224731445
155,155,20,40,1,Janetlense,1,8.0,8.0,8.0,0.0214760303497314
156,156,18,17,1,Jgn2Plus,0,0.0,0.0,0.0,0.0105299949645996
157,157,25,30,2,Karen,3,1.6666666666666667,1.0,2.0,0.0314726829528808
158,158,754,899,3,Kdl,11,18.63636363636364,1.0,185.0,29.19689154624939
159,159,26,28,2,KentmanFeb2008,2,1.5,1.0,2.0,0.0264589786529541
160,160,38,39,1,KentmanJan2011,0,0.0,0.0,0.0,0.0338716506958007
161,161,16,17,2,KentmanJul2005,2,1.5,1.0,2.0,0.0113451480865478
162,162,13,12,1,Kreonet,0,0.0,0.0,0.0,0.0092012882232666
163,163,42,46,3,LambdaNet,3,2.333333333333333,2.0,3.0,0.0208766460418701
164,164,69,74,1,Latnet,2,2.0,2.0,2.0,0.1178226470947265
165,165,6,7,2,Layer42,2,1.5,1.0,2.0,0.0073919296264648
166,166,43,43,1,Litnet,0,0.0,0.0,0.0,0.0512740612030029
167,167,20,27,1,Marnet,1,3.0,3.0,3.0,0.0111105442047119
168,168,16,18,2,Marwan,2,2.0,2.0,2.0,0.020134687423706
169,169,67,83,3,Missouri,3,8.0,4.0,14.0,0.1341023445129394
170,170,6,5,1,Mren,0,0.0,0.0,0.0,0.0057430267333984
171,171,37,40,1,Myren,1,2.0,2.0,2.0,0.0359599590301513
172,172,6,7,1,Napnet,0,0.0,0.0,0.0,0.0051963329315185
173,173,13,17,1,Navigata,1,4.0,4.0,4.0,0.0098040103912353
174,174,7,10,1,Netrail,1,3.0,3.0,3.0,0.0067520141601562
175,175,35,39,1,NetworkUsa,1,4.0,4.0,4.0,0.0099637508392333
176,176,17,20,1,Nextgen,1,2.0,2.0,2.0,0.0073201656341552
177,177,36,41,1,Niif,1,5.0,5.0,5.0,0.0527789592742919
178,178,19,25,1,Noel,1,6.0,6.0,6.0,0.010829210281372
179,179,7,6,1,Nordu1989,0,0.0,0.0,0.0,0.0058720111846923
180,180,14,13,1,Nordu1997,0,0.0,0.0,0.0,0.0092434883117675
181,181,9,10,1,Nordu2005,0,0.0,0.0,0.0,0.0074927806854248
182,182,13,15,2,Nsfnet,2,2.5,1.0,4.0,0.0130896568298339
183,183,20,26,1,Oxford,1,6.0,6.0,6.0,0.0105586051940917
184,184,18,27,1,Pacificwave,1,3.0,3.0,3.0,0.010453462600708
185,185,21,27,2,Packetexchange,4,2.25,1.0,5.0,0.0193355083465576
186,186,45,70,2,Palmetto,2,11.5,3.0,20.0,0.0756804943084716
187,187,16,20,1,Peer1,1,5.0,5.0,5.0,0.0113489627838134
188,188,127,129,2,Pern,2,2.0,2.0,2.0,0.3118319511413574
189,189,36,41,3,PionierL1,3,3.333333333333333,1.0,7.0,0.0437948703765869
190,190,38,52,1,PionierL3,1,14.0,14.0,14.0,0.0607469081878662
191,191,24,25,1,Psinet,1,2.0,2.0,2.0,0.0152738094329833
192,192,20,31,1,Quest,1,11.0,11.0,11.0,0.0169897079467773
193,193,84,101,2,RedBestel,4,4.25,1.0,11.0,0.0851790904998779
194,194,19,32,1,Rediris,1,9.0,9.0,9.0,0.013913869857788
195,195,5,4,1,Renam,0,0.0,0.0,0.0,0.0058188438415527
196,196,24,23,1,Renater1999,0,0.0,0.0,0.0,0.0126867294311523
197,197,24,27,1,Renater2001,1,4.0,4.0,4.0,0.0195949077606201
198,198,30,36,2,Renater2004,2,3.0,1.0,5.0,0.0205867290496826
199,199,33,43,3,Renater2006,3,2.6666666666666665,1.0,5.0,0.0306549072265625
200,200,33,43,3,Renater2008,3,2.6666666666666665,1.0,5.0,0.0327351093292236
201,201,43,56,1,Renater2010,1,12.0,12.0,12.0,0.0320346355438232
202,202,19,21,1,Restena,1,3.0,3.0,3.0,0.0123028755187988
203,203,37,36,1,Reuna,0,0.0,0.0,0.0,0.0422229766845703
204,204,16,18,1,Rhnet,1,2.0,2.0,2.0,0.0083887577056884
205,205,31,34,2,Rnp,2,1.5,1.0,2.0,0.0229392051696777
206,206,42,50,1,Roedunet,1,6.0,6.0,6.0,0.0665054321289062
207,207,48,52,2,RoedunetFibre,2,3.5,1.0,6.0,0.0456142425537109
208,208,18,17,1,Sago,0,0.0,0.0,0.0,0.006115436553955
209,209,43,45,2,Sanet,2,2.0,1.0,3.0,0.0352330207824707
210,210,7,7,1,Sanren,0,0.0,0.0,0.0,0.0050649642944335
211,211,19,20,1,Savvis,1,2.0,2.0,2.0,0.0077934265136718
212,212,28,35,3,Shentel,3,3.6666666666666665,1.0,8.0,0.030452013015747
213,213,74,76,3,Sinet,3,1.6666666666666667,1.0,2.0,0.2108931541442871
214,214,11,10,1,Singaren,0,0.0,0.0,0.0,0.0077652931213378
215,215,15,16,1,Spiralight,0,0.0,0.0,0.0,0.0054590702056884
216,216,11,18,2,Sprint,2,3.5,1.0,6.0,0.0150399208068847
217,217,26,49,2,Sunet,3,7.0,1.0,18.0,0.0331857204437255
218,218,50,73,3,Surfnet,4,4.25,1.0,12.0,0.0692493915557861
219,219,74,92,4,Switch,5,4.6,2.0,15.0,0.2282426357269287
220,220,42,63,1,SwitchL3,1,14.0,14.0,14.0,0.053708791732788
221,221,74,74,1,Syringa,0,0.0,0.0,0.0,0.0882589817047119
222,222,145,194,2,TataNld,5,11.6,1.0,51.0,0.4966967105865478
223,223,6,6,1,Telecomserbia,0,0.0,0.0,0.0,0.0051679611206054
224,224,53,89,2,Tinet,2,16.5,13.0,20.0,0.1524558067321777
225,225,12,16,1,TLex,1,4.0,4.0,4.0,0.0119311809539794
226,226,20,20,1,Twaren,0,0.0,0.0,0.0,0.0160596370697021
227,227,82,82,1,Ulaknet,0,0.0,0.0,0.0,0.115307331085205
228,228,25,29,2,UniC,2,1.5,1.0,2.0,0.0187108516693115
229,229,13,25,1,Uninet,2,6.0,4.0,8.0,0.0139679908752441
230,230,74,101,2,Uninett2010,2,13.0,2.0,24.0,0.2412135601043701
231,231,69,98,2,Uninett2011,2,12.5,2.0,23.0,0.215463638305664
232,232,24,24,1,Uran,0,0.0,0.0,0.0,0.0169072151184082
233,233,158,189,5,UsCarrier,8,5.0,1.0,22.0,0.3493263721466064
234,234,49,84,1,Uunet,1,20.0,20.0,20.0,0.1444127559661865
235,235,25,26,1,Vinaren,0,0.0,0.0,0.0,0.0180110931396484
236,236,24,23,1,VisionNet,0,0.0,0.0,0.0,0.0105526447296142
237,237,88,92,3,VtlWavenet2008,3,2.333333333333333,2.0,3.0,0.04634690284729
238,238,92,96,3,VtlWavenet2011,3,2.333333333333333,2.0,3.0,0.0191695690155029
239,239,30,33,2,WideJpn,2,1.5,1.0,2.0,0.0277876853942871
240,240,24,34,2,Xeex,2,5.0,2.0,8.0,0.0267086029052734
241,241,34,49,1,Xspedius,1,19.0,19.0,19.0,0.0322382450103759
242,242,23,24,1,York,1,2.0,2.0,2.0,0.0078752040863037
