,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE,TIME,SUBDIVISON,OUTERPLANAR
167,34,47,2,Arnes.graphml,3,4.0,2.0,5.0,0.016622543334960938,False,False
168,30,29,1,Cynet.graphml,0,0.0,0.0,0.0,0.01602768898010254,False,True
169,35,39,1,NetworkUsa.graphml,1,4.0,4.0,4.0,0.0040624141693115234,True,True
170,18,22,3,HiberniaNireland.graphml,3,2.0,2.0,2.0,0.004863262176513672,False,False
171,55,74,2,Garr201008.graphml,2,5.0,1.0,9.0,0.11855435371398926,False,False
172,145,194,2,TataNld.graphml,5,11.6,1.0,51.0,0.32540011405944824,False,False
173,14,15,1,Ilan.graphml,0,0.0,0.0,0.0,0.02906632423400879,False,True
174,10,9,1,Ai3.graphml,0,0.0,0.0,0.0,0.001425027847290039,False,True
175,55,81,3,HiberniaGlobal.graphml,7,4.857142857142857,1.0,21.0,0.06119656562805176,False,False
176,36,41,1,Cwix.graphml,1,7.0,7.0,7.0,0.017559289932250977,True,False
177,62,62,1,Forthnet.graphml,0,0.0,0.0,0.0,0.04301738739013672,False,True
178,24,23,1,VisionNet.graphml,0,0.0,0.0,0.0,0.0043070316314697266,False,True
179,59,87,1,Garr201110.graphml,1,10.0,10.0,10.0,0.12127566337585449,True,False
180,7,6,1,Nordu1989.graphml,0,0.0,0.0,0.0,0.0011107921600341797,False,True
181,37,38,1,Bren.graphml,0,0.0,0.0,0.0,0.017938613891601562,False,True
182,25,28,3,Arpanet19723.graphml,3,2.0,2.0,2.0,0.007841348648071289,False,False
183,35,37,2,GtsSlovakia.graphml,2,2.0,2.0,2.0,0.016313791275024414,False,False
184,51,66,2,Bellsouth.graphml,2,2.5,1.0,4.0,0.06464242935180664,False,False
185,27,29,1,Garr200212.graphml,1,3.0,3.0,3.0,0.013524770736694336,True,True
186,13,25,1,Uninet.graphml,2,6.0,4.0,8.0,0.007360696792602539,False,False
187,42,63,1,SwitchL3.graphml,1,14.0,14.0,14.0,0.0337979793548584,True,False
188,7,7,1,Sanren.graphml,0,0.0,0.0,0.0,0.0004868507385253906,False,True
189,24,24,1,Uran.graphml,0,0.0,0.0,0.0,0.007093667984008789,False,True
190,13,12,1,Cesnet1997.graphml,0,0.0,0.0,0.0,0.003841876983642578,False,True
191,31,38,4,Digex.graphml,4,2.75,2.0,4.0,0.012015581130981445,False,False
192,70,85,4,Columbus.graphml,4,6.25,1.0,15.0,0.1173853874206543,False,False
193,33,37,1,GtsPoland.graphml,1,6.0,6.0,6.0,0.00979924201965332,True,False
194,42,50,1,Roedunet.graphml,1,6.0,6.0,6.0,0.040483951568603516,True,False
195,21,27,1,Packetexchange.graphml,2,3.5,2.0,5.0,0.006811618804931641,True,True
196,33,48,2,Bics.graphml,2,8.5,2.0,15.0,0.03426957130432129,False,False
197,48,52,2,RoedunetFibre.graphml,2,3.5,1.0,6.0,0.027906417846679688,False,False
198,54,68,2,Garr201001.graphml,2,5.0,1.0,9.0,0.127152681350708,False,False
199,6,11,1,Dataxchange.graphml,1,5.0,5.0,5.0,0.0029671192169189453,False,False
200,19,32,1,Rediris.graphml,1,9.0,9.0,9.0,0.007131814956665039,False,False
201,11,14,3,Abilene.graphml,3,2.0,2.0,2.0,0.006563901901245117,False,False
202,30,36,1,Renater2004.graphml,1,5.0,5.0,5.0,0.009176492691040039,True,True
203,25,26,1,Vinaren.graphml,0,0.0,0.0,0.0,0.009273767471313477,False,True
204,38,52,2,PionierL3.graphml,2,7.5,1.0,14.0,0.04523611068725586,False,False
205,31,35,1,Iinet.graphml,1,4.0,4.0,4.0,0.02445220947265625,True,False
